   text	   data	    bss	    dec	    hex	filename
   2612	   1016	      0	   3628	    e2c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-intel-cht-wc.ko
   4895	   1320	      0	   6215	   1847	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-max8997.ko
   5482	   1816	      0	   7298	   1c82	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-palmas.ko
   1124	   1016	      0	   2140	    85c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-gpio.ko
  10996	   4232	      1	  15229	   3b7d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spmi/spmi.ko
   3567	   1096	    186	   4849	   12f1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/hotplug/cpcihp_zt5550.ko
   4573	   1712	     24	   6309	   18a5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/hotplug/acpiphp_ibm.ko
   3076	    832	    161	   4069	    fe5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/hotplug/cpcihp_generic.ko
    442	   1096	      0	   1538	    602	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/pci-pf-stub.ko
   6679	   1608	      4	   8291	   2063	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/controller/vmd.ko
  12345	   1463	      4	  13812	   35f4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/controller/pci-hyperv.ko
  15938	   2368	     12	  18318	   478e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/switch/switchtec.ko
   9956	   2120	     20	  12096	   2f40	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/xen-pcifront.ko
   1101	   2120	      0	   3221	    c95	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/pci/pci-stub.ko
